NTDID,AGENCY,CITY,STATE,UACE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
99425,Pomona Valley Transportation Authority,LA VERNE,CA,51445,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90119,City of Laguna Beach,Laguna Beach,CA,57709,"Mission Viejo-Lake Forest-San Clemente, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90035,Gold Coast Transit District,OXNARD,CA,66673,"Oxnard, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90164,Ventura County Transportation Commission,Camarillo,CA,66673,"Oxnard, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90029,Omnitrans,SAN BERNARDINO,CA,75340,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90031,Riverside Transit Agency,RIVERSIDE,CA,75340,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90052,City of Corona,CORONA,CA,75340,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90086,City of Riverside,RIVERSIDE,CA,75340,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90218,Riverside County Transportation Commission,RIVERSIDE,CA,75340,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90302,San Bernardino County Transportation Authority,SAN BERNARDINO,CA,75340,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90171,City of Santa Clarita,SANTA CLARITA,CA,79309,"Santa Clarita, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90050,City of Simi Valley,SIMI VALLEY,CA,82144,"Simi Valley, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90165,City of Thousand Oaks,THOUSAND OAKS,CA,87490,"Thousand Oaks, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90148,Victor Valley Transit Authority,HESPERIA,CA,90541,"Victorville-Hesperia, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
40029,Broward County Board of County Commissioners,FORT LAUDERDALE,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40034,County of Miami-Dade ,MIAMI,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40037,"Board of County Commissioners, Palm Beach County",WEST PALM BEACH,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40077,South Florida Regional Transportation Authority,POMPANO BEACH,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40152,"Miami Lakes - vRide, Inc.",Miami Lakes,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
40179,Broward County Community Bus Service,Plantation,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
44929,City of Fort Lauderdale,FORT LAUDERDALE,FL,56602,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council,Southeast Florida Transportation Council
50027,Metro Transit,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Metro Transit
50154,Metropolitan Council,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Metropolitan Council
50155,Metro Mobility,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Metro Mobility
50515,University of Minnesota Transit,MINNEAPOLIS,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,University of Minnesota Transit
50516,City of Plymouth,PLYMOUTH,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,City of Plymouth
50517,City of Maple Grove,OSSEO,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,City of Maple Grove
50518,SouthWest Transit,EDEN PRAIRIE,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,SouthWest Transit
50519,Minnesota Valley Transit Authority,BURNSVILLE,MN,57628,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council,Minnesota Valley Transit Authority
20006,City of Long Beach,LONG BEACH,NY,63217,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council,City of Long Beach
